,Unnamed: 0,Name,Team,Pos,Nationality,CTteam,Height,Weight,MinutesPlayedPG,ptsPG,rebPG,astPG,toPG,stlPG,blkPG,pfPG,TotalGames,TotalMinutesPlayed,2ptsPercentage,3ptsPercentage,ftPercentage,fgPercentage,2ptsM_PG,2ptsA_PG,3ptsM_PG,3ptsA_PG,ftM_PG,ftA_PG,fgM_PG,fgA_PG,Totalpts,TotalREB,TotalAst,TotalTO,TotalSTL,TotalBLK,TotalPF,EFF,eFG,TS,TOV,C,F,G
135,135,吳宥達,臺北達欣工程,G,1,0,171,70,2,0.3,0.3,0.2,0,0,0,0,6,10,0.25,0,0,0.2,0.2,0.7,0,0.2,0,0,0.2,0.8,2,2,1,0,0,0,0,0.2,0.25,0.1875,0,0,0,1
136,136,岳瀛立,臺北達欣工程,F,1,0,196,90,15,4.9,2.3,0.8,0.8,0.7,0.6,2.3,370,5538,0.4529,0.3211,0.7045,0.3864,1.1,2.3,0.8,2.4,0.5,0.7,1.8,4.7,1795,849,288,312,246,219,858,5.4,0.468085106,0.489217252,0.137741047,0,1,0
137,137,張智峰,臺北達欣工程,G,1,0,183,93,27,11.8,3.8,2.4,1.9,1.3,0.1,2.1,305,8134,0.4874,0.349,0.7758,0.4338,2.9,6,1.3,3.8,2,2.6,4.2,9.8,3602,1168,745,576,406,44,647,11.3,0.494897959,0.539108187,0.147928994,0,0,1
138,138,布拉,臺北達欣工程,C,0,0,226,160,36,20.7,15.9,1.5,2.6,0.3,2.4,1.5,58,2083,0.6796,0,0.5544,0.6749,8.4,12.4,0,0.1,3.8,6.8,8.4,12.5,1199,924,87,149,19,140,87,31.1,0.672,0.668086754,0.143709927,1,0,0
139,139,戴維斯,桃園璞園建築,C,1,1,203,100,32,17.1,12.6,1.6,2.1,1.2,2.3,2.1,157,5075,0.6052,0.2941,0.685,0.5996,7.1,11.7,0.1,0.2,2.7,3.9,7.2,12,2686,1986,249,330,194,364,332,26.7,0.604166667,0.62335958,0.132776935,1,0,0
140,140,張文平,金門酒廠,F,1,0,196,87,19,7.3,2.6,1,1.2,0.8,0.3,2.2,24,466,0.4333,0.3303,0.6364,0.3669,1.1,2.5,1.5,4.5,0.6,0.9,2.6,7,174,63,24,28,20,6,53,6.1,0.478571429,0.493510005,0.139599814,0,1,0
141,141,蔡勝耀,臺灣銀行,G,1,0,185,82,4,1.1,0.8,0.1,0.4,0,0,1.1,8,29,0.4,0,1,0.4,0.5,1.3,0,0,0.1,0.1,0.5,1.3,9,6,1,3,0,0,9,0.8,0.384615385,0.40922619,0.229357798,0,0,1
142,142,簡肇熠,富邦勇士,G,1,0,180,82,6,1.6,0.6,0.4,0.8,0.3,0,0.8,25,156,0.2308,0.25,0.7273,0.2407,0.2,1,0.3,1.1,0.3,0.4,0.5,2.2,41,16,10,20,8,1,21,0.3,0.295454545,0.336700337,0.251889169,0,0,1
143,143,陳孝榮,富邦勇士,F,1,1,197,90,12,3.4,3.4,0.5,0.7,0.7,0.3,1.8,97,1198,0.5201,0,0.5172,0.5201,1.5,2.8,0,0,0.5,0.9,1.5,2.8,329,329,51,71,64,32,173,5.9,0.535714286,0.531914894,0.179671458,0,1,0
144,144,包提傑,富邦勇士,F,1,0,205,100,9,2.3,2.8,0.3,0.6,0.4,0.3,1.2,46,399,0.4144,0,0.4,0.3966,1,2.4,0,0.1,0.3,0.8,1,2.5,106,128,13,27,18,12,54,3.5,0.4,0.403225806,0.173812283,0,1,0
145,145,吳奉晟,台灣啤酒,F,1,0,195,84,13,4.8,1.9,0.4,0.7,0.4,0.1,1.8,203,2633,0.4661,0.2557,0.6574,0.4256,1.7,3.6,0.2,0.9,0.7,1.1,1.9,4.5,965,395,72,135,73,24,358,3.9,0.444444444,0.481540931,0.123152709,0,1,0
146,146,歐布萊恩,富邦勇士,C,0,0,213,121,37,18.5,13.5,2.4,3.4,1.1,2,2.2,97,3575,0.4415,0.3041,0.6953,0.4077,5.7,13,1.3,4.2,3.2,4.6,7,17.2,1793,1312,231,330,109,190,213,22.5,0.444767442,0.481169372,0.150282885,1,0,0
147,147,巴隆,富邦勇士,C,0,0,213,113,35,27.4,14.6,1.3,2.1,0.8,0.7,2.2,27,956,0.4837,0.354,0.7283,0.45,8.2,17,2.1,6,4.7,6.4,10.3,23,741,393,35,57,22,20,60,28.3,0.493478261,0.530678649,0.075225677,1,0,0
148,148,洪康喬,金門酒廠,F,1,0,190,95,8,2,1,0,0.5,0,0.3,0.7,6,48,0.2727,0.1538,0,0.2083,0.5,1.8,0.3,2.2,0,0,0.8,4,12,6,0,3,0,2,4,-0.4,0.2375,0.25,0.111111111,0,1,0
149,149,李家慶,金門酒廠,F,1,0,194,104,6,2.1,0.8,0.3,0.4,0.1,0.2,1.4,23,143,0.4444,0,0.7727,0.4444,0.7,1.6,0,0,0.7,1,0.7,1.6,49,19,8,10,3,4,32,1.9,0.4375,0.514705882,0.163934426,0,1,0
150,150,鄧安誠,金門酒廠,F,1,0,189,107,15,4.1,2.9,0.6,0.7,0.8,0.2,1.9,285,4408,0.4687,0.2737,0.6109,0.4367,1.5,3.2,0.2,0.6,0.6,1,1.7,3.8,1169,833,166,195,219,68,543,5.4,0.473684211,0.483490566,0.141700405,0,1,0
151,151,鄭騏寬,金門酒廠,F,1,0,188,89,13,4.5,1.5,0.4,0.6,0.2,0.1,1,42,559,0.4,0.3023,0.7333,0.3571,1,2.6,0.6,2,0.5,0.7,1.7,4.7,188,62,15,25,9,5,41,2.9,0.425531915,0.44928115,0.106990014,0,1,0
152,152,倪學謙,金門酒廠,G,1,0,170,75,10,1.8,1.1,0.6,1.1,0.4,0,1.8,20,192,0.3125,0.2162,0.5,0.2453,0.3,0.8,0.4,1.9,0.1,0.2,0.7,2.7,36,22,11,21,7,0,36,0.7,0.333333333,0.322812052,0.282921811,0,0,1
153,153,菲爾普斯,金門酒廠,F,0,0,200,105,39,29.3,16.3,2.3,3.7,1.2,1.2,2.3,28,1080,0.5025,0.2,0.6358,0.4881,10.8,21.5,0.2,1.1,7.1,11.2,11,22.5,821,457,64,104,33,34,64,31,0.493333333,0.534125711,0.118864045,0,1,0
154,154,吳建龍,金門酒廠,F,1,0,195,105,17,4.3,3.6,0.9,0.8,0.5,0.4,1.1,237,4000,0.4404,0.2971,0.5847,0.3724,1.1,2.4,0.6,2.2,0.3,0.5,1.7,4.6,1030,846,220,179,113,98,270,5.8,0.434782609,0.446058091,0.142348754,0,1,0
155,155,葛記豪,裕隆納智捷,G,1,1,181,85,19,6.1,2.4,2.3,1.5,1.3,0.1,2,199,3761,0.4268,0.3481,0.6915,0.3924,1.4,3.2,0.9,2.5,0.7,1,2.2,5.7,1206,472,448,295,263,14,389,6.9,0.464912281,0.496742671,0.196335079,0,0,1
156,156,陳則語,裕隆納智捷,G,1,0,184,78,10,2.4,0.8,1.1,1,0.3,0,1.4,57,545,0.3169,0.1628,0.5952,0.2811,0.8,2.5,0.1,0.8,0.4,0.7,0.9,3.2,136,48,60,58,19,0,77,1,0.296875,0.342075257,0.221827862,0,0,1
